county,lat_county_center,long_county_center
LINCOLNSHIRE,53.01944212544306,-0.23840005001104742
LIVERPOOL,53.51161042331058,-2.9133553213934933
LUTON,51.96794156247519,-0.4231453809741767
MANCHESTER,53.618178066457645,-2.233722497247214
MEDWAY,51.32755214050494,0.5632335773155063
MERTHYR TYDFIL,51.7491733546018,-3.364038380855059
MERTON,51.37364806533906,-0.18868284810195649
MIDDLESBROUGH,54.509811804048525,-1.211038279554591
MILTON KEYNES,52.01691690834565,-0.7406230338375396
MONMOUTHSHIRE,51.7814206199146,-2.9039376686282425
NEATH PORT TALBOT,51.595373882132314,-3.745863977019859
NEWCASTLE UPON TYNE,55.00208530426788,-1.6528060000799478
NEWHAM,51.75154898367921,0.027418297835790684
NEWPORT,51.53252077598466,-2.8977508447378377
NORFOLK,52.30321795325779,0.9647656664969901
NORTH EAST LINCOLNSHIRE,53.509682707529045,-0.13922752593135446
NORTH LINCOLNSHIRE,53.57540769163687,-0.5237064783727218
NORTH SOMERSET,51.352647497417244,-2.754328156919208
NORTH TYNESIDE,55.00390319683472,-1.5092379299463554
NORTH YORKSHIRE,54.03714208997486,-1.5496096451615529
NORTHAMPTONSHIRE,52.0900829563603,-0.8673659616758201
NORTHUMBERLAND,55.26837645266241,-2.0751052224033173
NOTTINGHAM,52.955142281518356,-1.1666343534127326
NOTTINGHAMSHIRE,53.03303746935463,-1.0069484349905118
OLDHAM,53.65997801572851,-2.0526886435110323
OXFORDSHIRE,51.937701083889436,-1.2911210190480624
PEMBROKESHIRE,51.87233217384351,-4.908191895565951
PETERBOROUGH,52.62512621803513,-0.2689975629971001
PLYMOUTH,50.294477385024706,-4.112957050551121
PORTSMOUTH,50.914318119488875,-1.0702667071067664
POWYS,52.35028728472521,-3.436466567759179
READING,51.489739771940464,-0.9907194758981146
REDBRIDGE,51.74619723686722,0.07009997268460925
REDCAR AND CLEVELAND,54.5267448324288,-1.0057464315232816
RICHMOND UPON THAMES,51.40230772356072,-0.2892425528430098
ROCHDALE,53.67732873941482,-2.148151741355721
ROTHERHAM,53.27571211050701,-1.2866094840386744
RUTLAND,52.66741819281054,-0.6255845549569237
SALFORD,53.398992956196345,-2.384897487500393
SANDWELL,52.58697896621031,-2.007628032427347
SEFTON,53.41756234658455,-2.9918968957428578
SHEFFIELD,53.594572416421464,-1.5427562119531817
SHROPSHIRE,52.684282832824394,-2.7366871803518236
SLOUGH,51.500375556628576,-0.57610397302028
SOLIHULL,52.36591766747786,-1.7157160123587192
SOMERSET,51.151982752918755,-3.295337719588344
SOUTH GLOUCESTERSHIRE,51.619843336493965,-2.469432616648505
SOUTH TYNESIDE,54.994706019365786,-1.4469495557847802
SOUTHAMPTON,50.98481384199117,-1.4002774223088974
SOUTHEND-ON-SEA,51.56216876846265,0.7069905097197788
SOUTHWARK,51.26247888140807,-0.07306478738778778
ST. HELENS,53.442224061227776,-2.7032420688257086
STAFFORDSHIRE,52.54942134482912,-2.027493975793487
STOCKPORT,53.243567817667724,-2.1248943963670635
STOCKTON-ON-TEES,54.60356568786033,-1.3063894589859695
STOKE-ON-TRENT,53.00187231514308,-2.1588155163720084
SUFFOLK,52.073281339808794,1.0490398863103054
SUNDERLAND,54.95658521287448,-1.4335738256847994
SURREY,51.75817482314145,-0.3386369800762059
SUTTON,51.33188607749664,-0.17228971855518885
SWANSEA,51.73430818043868,-3.9671805644591953
SWINDON,51.642962035351985,-1.7336358256455071
TAMESIDE,53.4185402114593,-2.0769470730071893
TELFORD AND WREKIN,52.709188465626916,-2.4894731902316662
THURROCK,51.50821040428924,0.33492779579046517
TORBAY,50.494038149948445,-3.5551646045072913
TORFAEN,51.69896506141925,-3.0509321701469116
TOWER HAMLETS,51.68485859523772,-0.03638140014911632
TRAFFORD,53.314621144815334,-2.365658184202733
VALE OF GLAMORGAN,51.477089244504974,-3.3980058071350205
WAKEFIELD,53.81677380462442,-1.420854279093897
WALSALL,52.742742908764974,-1.9703313683489896
WALTHAM FOREST,51.72349475966751,-0.01886181058287405
WANDSWORTH,51.24654030642563,-0.20017436782867853
WARRINGTON,53.33854457472548,-2.561564052456012
WARWICKSHIRE,52.04847200574421,-1.5686366044377507
WEST BERKSHIRE,51.47296359610666,-1.2740174978079444
WEST SUSSEX,51.11481372809285,-0.45935238987625343
WESTMINSTER,51.61330309724115,-0.1529827206069543
WIGAN,53.58765118618287,-2.572386518363141
WILTSHIRE,51.48574078833242,-1.9265379298644352
WINDSOR AND MAIDENHEAD,51.494605913615096,-0.6753935914575961
WIRRAL,53.23721131684378,-3.0650815196374155
WOKINGHAM,51.459676507182444,-0.8993710709374386
WOLVERHAMPTON,52.716844523831334,-2.1275979645659673
WORCESTERSHIRE,52.05796739165317,-2.209186362123917
WREXHAM,53.000793382601415,-2.9919578184916915
YORK,53.99232942499273,-1.0737893087192045
